Mod:Item:MetaData, Localized Name
OpenBlocks:grave, Grave
OpenBlocks:flag, Flag
OpenBlocks:tank, Tank
OpenBlocks:trophy, Trophy
OpenBlocks:beartrap, Bear Trap
OpenBlocks:sprinkler, Sprinkler
OpenBlocks:cannon, Item Cannon
OpenBlocks:vacuumhopper, Vacuum Hopper
OpenBlocks:sponge, Sponge
OpenBlocks:bigbutton, Big Button
OpenBlocks:imaginary:0, Magic Pencil
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:fan, Fan
OpenBlocks:xpbottler, XP Bottler
OpenBlocks:village_highlighter, Village Highlighter
OpenBlocks:path, Path
OpenBlocks:autoanvil, Auto Anvil
OpenBlocks:autoenchantmenttable, Auto Enchantment Table
OpenBlocks:xpdrain, XP Drain
OpenBlocks:blockbreaker, Block Breaker
OpenBlocks:blockPlacer, Block Placer
OpenBlocks:itemDropper, Item Dropper
OpenBlocks:ropeladder, Rope Ladder
OpenBlocks:donationStation, Donation Station
OpenBlocks:paintmixer, Paint Mixer
OpenBlocks:canvas, Canvas
OpenBlocks:paintcan, Paint Can
OpenBlocks:canvasglass, Glass Canvas
OpenBlocks:projector, Height Map Projector
OpenBlocks:drawingtable, Drawing Table
OpenBlocks:sky:0, Sky Block
OpenBlocks:sky:1, Sky Block
OpenBlocks:xpshower, XP Shower
OpenBlocks:goldenegg, Golden Egg
OpenBlocks:scaffolding, Scaffolding
OreSpawn:OreSpawn_SpiderSpawnBlock, tile.orespider.name
OreSpawn:OreSpawn_BatSpawnBlock, tile.orebat.name
OreSpawn:OreSpawn_CowSpawnBlock, tile.orecow.name
OreSpawn:OreSpawn_PigSpawnBlock, tile.orepig.name
OreSpawn:OreSpawn_SquidSpawnBlock, tile.oresquid.name
OreSpawn:OreSpawn_ChickenSpawnBlock, tile.orechicken.name
OreSpawn:OreSpawn_CreeperSpawnBlock, tile.orecreeper.name
OreSpawn:OreSpawn_SkeletonSpawnBlock, tile.oreskeleton.name
OreSpawn:OreSpawn_ZombieSpawnBlock, tile.orezombie.name
OreSpawn:OreSpawn_SlimeSpawnBlock, tile.oreslime.name
OreSpawn:OreSpawn_GhastSpawnBlock, tile.oreghast.name
OreSpawn:OreSpawn_ZombiePigmanSpawnBlock, tile.orezombiepigman.name
OreSpawn:OreSpawn_EndermanSpawnBlock, tile.oreenderman.name
OreSpawn:OreSpawn_CaveSpiderSpawnBlock, tile.orecavespider.name
OreSpawn:OreSpawn_SilverfishSpawnBlock, tile.oresilverfish.name
OreSpawn:OreSpawn_MagmaCubeSpawnBlock, tile.oremagmacube.name
OreSpawn:OreSpawn_WitchSpawnBlock, tile.orewitch.name
OreSpawn:OreSpawn_SheepSpawnBlock, tile.oresheep.name
OreSpawn:OreSpawn_WolfSpawnBlock, tile.orewolf.name
OreSpawn:OreSpawn_MooshroomSpawnBlock, tile.oremooshroom.name
OreSpawn:OreSpawn_WitherBossSpawnBlock, tile.orewitherboss.name
OreSpawn:OreSpawn_GirlfriendSpawnBlock, tile.oregirlfriend.name
OreSpawn:OreSpawn_BoyfriendSpawnBlock, tile.oreboyfriend.name
OreSpawn:OreSpawn_RedCowSpawnBlock, tile.oreredcow.name
OreSpawn:OreSpawn_CrystalCowSpawnBlock, tile.orecrystalcow.name
OreSpawn:OreSpawn_VillagerSpawnBlock, tile.orevillager.name
OreSpawn:OreSpawn_GoldCowSpawnBlock, tile.oregoldcow.name
OreSpawn:OreSpawn_EnchantedCowSpawnBlock, tile.oreenchantedcow.name
OreSpawn:OreSpawn_MOTHRASpawnBlock, tile.oreMOTHRA.name
OreSpawn:OreSpawn_AloSpawnBlock, tile.orealosaurus.name
OreSpawn:OreSpawn_CryoSpawnBlock, tile.orecryolophosaurus.name
OreSpawn:OreSpawn_CamaSpawnBlock, tile.orecamarasaurus.name
OreSpawn:OreSpawn_VeloSpawnBlock, tile.orevelocityraptor.name
OreSpawn:OreSpawn_HydroSpawnBlock, tile.orehydrolisc.name
OreSpawn:OreSpawn_BasilSpawnBlock, tile.orebasilisc.name
OreSpawn:OreSpawn_DragonflySpawnBlock, tile.oredragonfly.name
OreSpawn:OreSpawn_EmperorScorpionSpawnBlock, tile.oreemperorscorpion.name
OreSpawn:OreSpawn_ScorpionSpawnBlock, tile.orescorpion.name
OreSpawn:OreSpawn_CaveFisherSpawnBlock, tile.orecavefisher.name
OreSpawn:OreSpawn_SpyroSpawnBlock, tile.orespyro.name
OreSpawn:OreSpawn_BaryonyxSpawnBlock, tile.orebaryonyx.name
OreSpawn:OreSpawn_GammaMetroidSpawnBlock, tile.oregammametroid.name
OreSpawn:OreSpawn_CockateilSpawnBlock, tile.orecockateil.name
OreSpawn:OreSpawn_KyuubiSpawnBlock, tile.orekyuubi.name
OreSpawn:OreSpawn_AlienSpawnBlock, tile.orealien.name
OreSpawn:OreSpawn_IronGolemSpawnBlock, tile.oreirongolem.name
OreSpawn:OreSpawn_SnowGolemSpawnBlock, tile.oresnowgolem.name
OreSpawn:OreSpawn_EnderDragonSpawnBlock, tile.oreenderdragon.name
OreSpawn:OreSpawn_OcelotSpawnBlock, tile.oreocelot.name
OreSpawn:OreSpawn_WitherSkeletonSpawnBlock, tile.orewitherskeleton.name
OreSpawn:OreSpawn_BlazeSpawnBlock, tile.oreblaze.name
OreSpawn:OreSpawn_AttackSquidSpawnBlock, tile.oreattacksquid.name
OreSpawn:OreSpawn_WaterDragonSpawnBlock, tile.orewaterdragon.name
OreSpawn:OreSpawn_CephadromeSpawnBlock, tile.orecephadrome.name
OreSpawn:OreSpawn_KrakenSpawnBlock, tile.orekraken.name
OreSpawn:OreSpawn_LizardSpawnBlock, tile.orelizard.name
OreSpawn:OreSpawn_DragonSpawnBlock, tile.oredragon.name
OreSpawn:OreSpawn_BeeSpawnBlock, tile.orebee.name
OreSpawn:OreSpawn_HorseSpawnBlock, tile.orehorse.name
OreSpawn:OreSpawn_TrooperBugSpawnBlock, tile.oretrooper.name
OreSpawn:OreSpawn_SpitBugSpawnBlock, tile.orespit.name
OreSpawn:OreSpawn_StinkBugSpawnBlock, tile.orestink.name
OreSpawn:OreSpawn_OstrichSpawnBlock, tile.oreostrich.name
OreSpawn:OreSpawn_GazelleSpawnBlock, tile.oregazelle.name
OreSpawn:OreSpawn_ChipmunkSpawnBlock, tile.orechipmunk.name
OreSpawn:OreSpawn_CreepingHorrorSpawnBlock, tile.orecreepinghorror.name
OreSpawn:OreSpawn_TerribleTerrorSpawnBlock, tile.oreterribleterror.name
OreSpawn:OreSpawn_CliffRacerSpawnBlock, tile.orecliffracer.name
OreSpawn:OreSpawn_TriffidSpawnBlock, tile.oretriffid.name
OreSpawn:OreSpawn_PitchBlackSpawnBlock, tile.orenightmare.name
OreSpawn:OreSpawn_LurkingTerrorSpawnBlock, tile.orelurkingterror.name
OreSpawn:OreSpawn_GodzillaPartSpawnBlock, tile.oregodzillapart.name
OreSpawn:OreSpawn_GodzillaSpawnBlock, tile.oregodzilla.name
OreSpawn:OreSpawn_TheKingPartSpawnBlock, tile.orethekingpart.name
OreSpawn:OreSpawn_TheKingSpawnBlock, tile.oretheking.name
OreSpawn:OreSpawn_TheQueenPartSpawnBlock, tile.orethequeenpart.name
OreSpawn:OreSpawn_TheQueenSpawnBlock, tile.orethequeen.name
OreSpawn:OreSpawn_SmallWormSpawnBlock, tile.oresmallworm.name
OreSpawn:OreSpawn_MediumWormSpawnBlock, tile.oremediumworm.name
OreSpawn:OreSpawn_LargeWormSpawnBlock, tile.orelargeworm.name
OreSpawn:OreSpawn_CassowarySpawnBlock, tile.orecassowary.name
OreSpawn:OreSpawn_CloudSharkSpawnBlock, tile.orecloudshark.name
OreSpawn:OreSpawn_GoldFishSpawnBlock, tile.oregoldfish.name
OreSpawn:OreSpawn_LeafMonsterSpawnBlock, tile.oreleafmonster.name
OreSpawn:OreSpawn_TshirtSpawnBlock, tile.oretshirt.name
OreSpawn:OreSpawn_EnderKnightSpawnBlock, tile.oreenderknight.name
OreSpawn:OreSpawn_EnderReaperSpawnBlock, tile.oreenderreaper.name
OreSpawn:OreSpawn_BeaverSpawnBlock, tile.orebeaver.name
OreSpawn:OreSpawn_UrchinSpawnBlock, tile.oreurchin.name
OreSpawn:OreSpawn_FlounderSpawnBlock, tile.oreflounder.name
OreSpawn:OreSpawn_SkateSpawnBlock, tile.oreskate.name
OreSpawn:OreSpawn_RotatorSpawnBlock, tile.orerotator.name
OreSpawn:OreSpawn_PeacockSpawnBlock, tile.orepeacock.name
OreSpawn:OreSpawn_FairySpawnBlock, tile.orefairy.name
OreSpawn:OreSpawn_DungeonBeastSpawnBlock, tile.oredungeonbeast.name
OreSpawn:OreSpawn_VortexSpawnBlock, tile.orevortex.name
OreSpawn:OreSpawn_RatSpawnBlock, tile.orerat.name
OreSpawn:OreSpawn_WhaleSpawnBlock, tile.orewhale.name
OreSpawn:OreSpawn_IrukandjiSpawnBlock, tile.oreirukandji.name
OreSpawn:OreSpawn_TRexSpawnBlock, tile.oretrex.name
OreSpawn:OreSpawn_HerculesSpawnBlock, tile.orehercules.name
OreSpawn:OreSpawn_MantisSpawnBlock, tile.oremantis.name
OreSpawn:OreSpawn_StinkySpawnBlock, tile.orestinky.name
OreSpawn:OreSpawn_EasterBunnySpawnBlock, tile.oreeasterbunny.name
OreSpawn:OreSpawn_CaterKillerSpawnBlock, tile.orecaterkiller.name
OreSpawn:OreSpawn_MolenoidSpawnBlock, tile.oremolenoid.name
OreSpawn:OreSpawn_SeaMonsterSpawnBlock, tile.oreseamonster.name
OreSpawn:OreSpawn_SeaViperSpawnBlock, tile.oreseaviper.name
OreSpawn:OreSpawn_LeonSpawnBlock, tile.oreleon.name
OreSpawn:OreSpawn_HammerheadSpawnBlock, tile.orehammerhead.name
OreSpawn:OreSpawn_RubberDuckySpawnBlock, tile.orerubberducky.name
OreSpawn:OreSpawn_CriminalSpawnBlock, tile.orecriminal.name
OreSpawn:OreSpawn_BrutalflySpawnBlock, tile.orebrutalfly.name
OreSpawn:OreSpawn_NastysaurusSpawnBlock, tile.orenastysaurus.name
OreSpawn:OreSpawn_PointysaurusSpawnBlock, tile.orepointysaurus.name
OreSpawn:OreSpawn_CricketSpawnBlock, tile.orecricket.name
OreSpawn:OreSpawn_FrogSpawnBlock, tile.orefrog.name
OreSpawn:OreSpawn_SpiderDriverSpawnBlock, tile.orespiderdriver.name
OreSpawn:OreSpawn_CrabSpawnBlock, tile.orecrab.name
OreSpawn:OreSpawn_OreSaltBlock, tile.oresalt.name
OreSpawn:OreSpawn_RTPBlock, tile.blockteleport.name
OreSpawn:OreSpawn_MoleDirtBlock, tile.moledirt.name
OreSpawn:OreSpawn_OreTitaniumBlock, tile.oretitanium.name
OreSpawn:OreSpawn_OreUraniumBlock, tile.oreuranium.name
OreSpawn:OreSpawn_BlockTitaniumBlock, tile.blocktitanium.name
OreSpawn:OreSpawn_BlockMobzillaScaleBlock, tile.blockmobzillascale.name
OreSpawn:OreSpawn_BlockUraniumBlock, tile.blockuranium.name
OreSpawn:OreSpawn_LavafoamBlock, tile.lavafoam.name
OreSpawn:OreSpawn_OreRubyBlock, tile.oreruby.name
OreSpawn:OreSpawn_BlockRubyBlock, tile.blockruby.name
OreSpawn:OreSpawn_OreAmethystBlock, tile.oreamethyst.name
OreSpawn:OreSpawn_BlockAmethystBlock, tile.blockamethyst.name
OreSpawn:OreSpawn_CrystalPinkBlock, tile.crystalpink_block.name
OreSpawn:OreSpawn_TigersEyeBlock, tile.tigerseye_block.name
OreSpawn:OreSpawn_PizzaBlock, tile.pizza.name
OreSpawn:OreSpawn_DuctTapeBlock, tile.ducttape.name
OreSpawn:OreSpawn_OreCrystalStoneBlock, tile.crystalstone.name
OreSpawn:OreSpawn_OreCrystalRatBlock, tile.crystalrat.name
OreSpawn:OreSpawn_OreRedAntTrollBlock, tile.redanttroll.name
OreSpawn:OreSpawn_OreTermiteTrollBlock, tile.termitetroll.name
OreSpawn:OreSpawn_OreCrystalFairyBlock, tile.crystalfairy.name
OreSpawn:OreSpawn_OreCrystalCoalBlock, tile.crystalcoal.name
OreSpawn:OreSpawn_OreCrystalGrassBlock, tile.crystalgrass.name
OreSpawn:OreSpawn_OreCrystalCrystalBlock, tile.crystalcrystal.name
OreSpawn:OreSpawn_OreTigersEyeBlock, tile.tigerseye.name
OreSpawn:OreSpawn_CrystalPlanksBlock, tile.crystalplanks.name
OreSpawn:OreSpawn_CrystalWorkbenchBlock, tile.crystalworkbench.name
OreSpawn:OreSpawn_CrystalFurnaceBlock, tile.crystalfurnace.name
OreSpawn:OreSpawn_CrystalFurnaceOnBlock, tile.crystalfurnace.name
OreSpawn:OreSpawn_StrawberryPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_RadishPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_RicePlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_ButterflyPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_MothPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_MosquitoPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_FireflyPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_CornPlant1, tile.corn_0.name
OreSpawn:OreSpawn_CornPlant2, tile.corn_1.name
OreSpawn:OreSpawn_CornPlant3, tile.corn_2.name
OreSpawn:OreSpawn_CornPlant4, tile.corn_3.name
OreSpawn:OreSpawn_QuinoaPlant1, tile.quinoa_0.name
OreSpawn:OreSpawn_QuinoaPlant2, tile.quinoa_1.name
OreSpawn:OreSpawn_QuinoaPlant3, tile.quinoa_2.name
OreSpawn:OreSpawn_QuinoaPlant4, tile.quinoa_3.name
OreSpawn:OreSpawn_TomatoPlant1, tile.tomato_0.name
OreSpawn:OreSpawn_TomatoPlant2, tile.tomato_1.name
OreSpawn:OreSpawn_TomatoPlant3, tile.tomato_2.name
OreSpawn:OreSpawn_TomatoPlant4, tile.tomato_3.name
OreSpawn:OreSpawn_LettucePlant1, tile.lettuce_0.name
OreSpawn:OreSpawn_LettucePlant2, tile.lettuce_1.name
OreSpawn:OreSpawn_LettucePlant3, tile.lettuce_2.name
OreSpawn:OreSpawn_LettucePlant4, tile.lettuce_3.name
OreSpawn:OreSpawn_AppleLeaves, tile.leaves_apple.name
OreSpawn:OreSpawn_ExperienceLeaves, tile.leaves_experience.name
OreSpawn:OreSpawn_ScaryLeaves, tile.leaves_scary.name
OreSpawn:OreSpawn_CherryLeaves, tile.leaves_cherry.name
OreSpawn:OreSpawn_PeachLeaves, tile.leaves_peach.name
OreSpawn:OreSpawn_SkyTreeLog, tile.skytreelog.name
OreSpawn:OreSpawn_DuplicatorLog, tile.duplicatortreelog.name
OreSpawn:OreSpawn_ExperiencePlant, tile.experiencesapling.name
OreSpawn:OreSpawn_CrystalPlant, tile.crystalsapling.name
OreSpawn:OreSpawn_CrystalPlant2, tile.crystalsapling2.name
OreSpawn:OreSpawn_CrystalPlant3, tile.crystalsapling3.name
OreSpawn:OreSpawn_FlowerPink, tile.flower_pink.name
OreSpawn:OreSpawn_FlowerBlue, tile.flower_blue.name
OreSpawn:OreSpawn_FlowerBlack, tile.flower_black.name
OreSpawn:OreSpawn_FlowerScary, tile.flower_scary.name
OreSpawn:OreSpawn_CrystalFlowerRed, tile.crystalflower_red.name
OreSpawn:OreSpawn_CrystalFlowerGreen, tile.crystalflower_green.name
OreSpawn:OreSpawn_CrystalFlowerBlue, tile.crystalflower_blue.name
OreSpawn:OreSpawn_CrystalFlowerYellow, tile.crystalflower_yellow.name
OreSpawn:OreSpawn_CrystalLeaves, tile.crystaltreeleaves.name
OreSpawn:OreSpawn_CrystalLeaves2, tile.crystaltreeleaves2.name
OreSpawn:OreSpawn_CrystalLeaves3, tile.crystaltreeleaves3.name
OreSpawn:OreSpawn_CrystalTreeLog, tile.crystaltreelog.name
OreSpawn:OreSpawn_ExtremeTorch, tile.extremetorch.name
OreSpawn:OreSpawn_CrystalTorch, tile.crystaltorch.name
OreSpawn:OreSpawn_KrakenRepellent, tile.krakenrepellent.name
OreSpawn:OreSpawn_CreeperRepellent, tile.creeperrepellent.name
OreSpawn:OreSpawn_Island, tile.island.name
OreSpawn:OreSpawn_KingSpawner, tile.kingspawner.name
OreSpawn:OreSpawn_QueenSpawner, tile.queenspawner.name
OreSpawn:OreSpawn_DungeonSpawner, tile.dungeonspawner.name
OreSpawn:OreSpawn_EnderPearlBlock, tile.blockenderpearl.name
OreSpawn:OreSpawn_EyeOfEnderBlock, tile.blockeyeofender.name
OreSpawn:OreSpawn_AntBlock, tile.AntBlock.name
OreSpawn:OreSpawn_RedAntBlock, tile.RedAntBlock.name
OreSpawn:OreSpawn_TermiteBlock, tile.TermiteBlock.name
OreSpawn:OreSpawn_CrystalTermiteBlock, tile.CrystalTermiteBlock.name
OreSpawn:OreSpawn_RainbowAntBlock, tile.RainbowAntBlock.name
OreSpawn:OreSpawn_UnstableAntBlock, tile.UnstableAntBlock.name
xreliquary:altar_idle, Altar of Light
xreliquary:altar, Altar of Light
xreliquary:apothecary_cauldron, Apothecary Cauldron
xreliquary:apothecary_mortar, Apothecary Mortar
xreliquary:lilypad, Lilypad of Fertility
xreliquary:interdiction_torch, {{!colors.yellow}}Interdiction Torch
xreliquary:wraith_node, Wraith Node
rivalrebels:rivalrebelsblock0, tile.rivalrebels.blocks.0.name
rivalrebels:rivalrebelsblock1, tile.rivalrebels.blocks.1.name
rivalrebels:rivalrebelsblock2, tile.rivalrebels.blocks.2.name
rivalrebels:rivalrebelsblock3, tile.rivalrebels.blocks.3.name
rivalrebels:rivalrebelsblock4, tile.rivalrebels.blocks.4.name
rivalrebels:rivalrebelsblock5, tile.rivalrebels.blocks.5.name
rivalrebels:rivalrebelsblock6, tile.rivalrebels.blocks.11.name
rivalrebels:rivalrebelsblock7, tile.rivalrebels.blocks.12.name
rivalrebels:rivalrebelsblock8, tile.rivalrebels.blocks.13.name
rivalrebels:rivalrebelsblock9, tile.rivalrebels.blocks.14.name
rivalrebels:rivalrebelsblock10, tile.rivalrebels.blocks.15.name
rivalrebels:rivalrebelsblock11, tile.rivalrebels.blocks.16.name
rivalrebels:rivalrebelsblock12, tile.rivalrebels.blocks.17.name
rivalrebels:rivalrebelsblock13, tile.rivalrebels.blocks.18.name
rivalrebels:rivalrebelsblock14, tile.rivalrebels.blocks.19.name
rivalrebels:rivalrebelsblock15, tile.rivalrebels.blocks.20.name
rivalrebels:rivalrebelsblock16, tile.rivalrebels.blocks.21.name
rivalrebels:rivalrebelsblock17, tile.rivalrebels.blocks.22.name
rivalrebels:rivalrebelsblock18, tile.rivalrebels.blocks.23.name
rivalrebels:rivalrebelsblock19, tile.rivalrebels.block.6.name
rivalrebels:rivalrebelsblock20, tile.rivalrebels.blocks.7.name
rivalrebels:rivalrebelsblock21, tile.rivalrebels.blocks.8.name
rivalrebels:rivalrebelsblock22, tile.rivalrebels.blocks.9.name
rivalrebels:rivalrebelsblock23, tile.rivalrebels.blocks.10.name
rivalrebels:rivalrebelsblock24, tile.rivalrebels.blocks.24.name
rivalrebels:rivalrebelsblock25, tile.rivalrebels.blocks.25.name
rivalrebels:rivalrebelsblock26, tile.rivalrebels.blocks.26.name
rivalrebels:rivalrebelsblock27, tile.rivalrebels.blocks.27.name
rivalrebels:rivalrebelsblock28, tile.rivalrebels.blocks.28.name
rivalrebels:rivalrebelsblock29, tile.rivalrebels.blocks.29.name
rivalrebels:rivalrebelsblock30, tile.rivalrebels.blocks.30.name
rivalrebels:rivalrebelsblock31, tile.rivalrebels.blocks.31.name
rivalrebels:rivalrebelsblock32, tile.rivalrebels.blocks.32.name
rivalrebels:rivalrebelsblock33, tile.rivalrebels.blocks.33.name
rivalrebels:rivalrebelsblock34, tile.rivalrebels.blocks.34.name
rivalrebels:rivalrebelsblock35, tile.rivalrebels.blocks.35.name
rivalrebels:rivalrebelsblock36, tile.rivalrebels.blocks.36.name
rivalrebels:rivalrebelsblock37, tile.rivalrebels.blocks.37.name
rivalrebels:rivalrebelsblock38, tile.rivalrebels.blocks.39.name
rivalrebels:rivalrebelsblock39, tile.rivalrebels.blocks.38.name
rivalrebels:rivalrebelsblock40, tile.rivalrebels.blocks.40.name
rivalrebels:rivalrebelsblock41, tile.rivalrebels.blocks.41.name
rivalrebels:rivalrebelsblock42, tile.rivalrebels.blocks.42.name
rivalrebels:rivalrebelsblock43, tile.rivalrebels.blocks.43.name
rivalrebels:rivalrebelsblock44, tile.rivalrebels.blocks.44.name
rivalrebels:rivalrebelsblock45, tile.rivalrebels.blocks.45.name
rivalrebels:rivalrebelsblock46, tile.rivalrebels.blocks.46.name
rivalrebels:rivalrebelsblock47, tile.rivalrebels.blocks.47.name
rivalrebels:rivalrebelsblock48, tile.rivalrebels.blocks.48.name
rivalrebels:rivalrebelsblock49, tile.rivalrebels.blocks.49.name
rivalrebels:rivalrebelsblock50, tile.rivalrebels.blocks.50.name
rivalrebels:rivalrebelsblock51, tile.rivalrebels.blocks.51.name
rivalrebels:rivalrebelsblock52, tile.rivalrebels.blocks.52.name
rivalrebels:rivalrebelsblock53, tile.rivalrebels.blocks.53.name
rivalrebels:rivalrebelsblock54, tile.rivalrebels.blocks.54.name
rivalrebels:rivalrebelsblock55, tile.rivalrebels.blocks.55.name
rivalrebels:rivalrebelsblock56, tile.rivalrebels.blocks.56.name
rivalrebels:rivalrebelsblock57, tile.rivalrebels.blocks.57.name
rivalrebels:rivalrebelsblock58, tile.rivalrebels.blocks.58.name
rivalrebels:rivalrebelsblock59, tile.rivalrebels.blocks.59.name
rivalrebels:rivalrebelsblock60, tile.rivalrebels.blocks.60.name
rivalrebels:rivalrebelsblock61, tile.rivalrebels.blocks.61.name
rivalrebels:rivalrebelsblock62, tile.rivalrebels.blocks.63.name
rivalrebels:rivalrebelsblock63, tile.rivalrebels.blocks.72.name
rivalrebels:rivalrebelsblock64, tile.rivalrebels.blocks.64.name
rivalrebels:rivalrebelsblock65, tile.rivalrebels.blocks.65.name
rivalrebels:rivalrebelsblock66, tile.rivalrebels.blocks.66.name
rivalrebels:rivalrebelsblock67, tile.rivalrebels.blocks.67.name
rivalrebels:rivalrebelsblock68, tile.rivalrebels.blocks.68.name
rivalrebels:rivalrebelsblock69, tile.rivalrebels.blocks.69.name
rivalrebels:rivalrebelsblock70, tile.rivalrebels.blocks.70.name
rivalrebels:rivalrebelsblock71, tile.rivalrebels.blocks.71.name
rivalrebels:rivalrebelsblock72, tile.rivalrebels.blocks.73.name
rivalrebels:rivalrebelsblock73, tile.rivalrebels.blocks.74.name
rivalrebels:rivalrebelsblock74, tile.rivalrebels.blocks.75.name
rivalrebels:rivalrebelsblock75, tile.rivalrebels.blocks.76.name
rivalrebels:rivalrebelsblock76, tile.rivalrebels.blocks.77.name
Techguns:BioBlobSmall, tile.Bioblob.name
Techguns:camoNetPane:0, Camo Net (Woodland)
Techguns:camoNetPane:1, Camo Net (Snow)
Techguns:camoNetPane:2, Camo Net (Desert)
Techguns:camoNetRoof:0, Camo Net Roof (Woodland)
Techguns:camoNetRoof:1, Camo Net Roof (Snow)
Techguns:camoNetRoof:2, Camo Net Roof (Desert)
Techguns:screen, Radar Screen
Techguns:controlpanel, Control Panel
Techguns:basicMachine:0, Ammo Press
Techguns:basicMachine:1, Metal Press
Techguns:basicMachine:2, Turret
Techguns:basicMachine:3, Camo Bench
Techguns:basicMachine:4, Chemical Laboratory
Techguns:basicMachine:5, Repair Bench
Techguns:basicMachine:6, Explosive Charge
Techguns:basicMachine:8, Advanced Explosive Charge
Techguns:basicMachine:9, Charging Station
Techguns:oreCluster:0, Ore Cluster (Iron)
Techguns:oreCluster:1, Ore Cluster (Gold)
Techguns:oreCluster:2, Ore Cluster (Redstone)
Techguns:oreCluster:3, Ore Cluster (Coal)
Techguns:oreCluster:4, Ore Cluster (Lapis)
Techguns:oreCluster:5, Ore Cluster (Diamond)
Techguns:oreCluster:6, Ore Cluster (Emerald)
Techguns:ladder01:0, Metal Ladder (Grey)
Techguns:ladder01:4, Metal Ladder (Rusty)
Techguns:ladder01:8, Metal Ladder (Shiny)
Techguns:ladder01:12, Metal Ladder (Black)
Techguns:lamp01:0, Lamp (Yellow)
Techguns:lamp01:8, Lamp (White)
Techguns:lamp01:7, Lantern (Yellow)
Techguns:lamp01:15, Lantern (White)
Techguns:door01, Unnamed Block, report to mod author.
Techguns:sandbags, Sandbags
Techguns:bugnesteggs, Strange Glowing Eggs
Techguns:bugnestslimy, Slime Trail
Techguns:airMarker, Air Marker
Techguns:oreTitanIron:0, Titanium Iron Ore
Techguns:oreTitanIron:1, Uranium Ore
Techguns:TGMonsterSpawner:0, Bug Hole
Techguns:TGMonsterSpawner:1, Zombie Hole
Techguns:acid, Creeper Acid
Techguns:tgchest, tile.tgchest.name
Techguns:tgchest_weapon, tile.tgchest_weapon.name
Techguns:container:0, Container Block
Techguns:container:1, Container Block
Techguns:container:2, Container Block
Techguns:container:3, Container Block
Techguns:container:4, Container Block
Techguns:container:5, Container Block
Techguns:concrete:0, Concrete
Techguns:concrete:1, Concrete
Techguns:concrete:2, Concrete
Techguns:concrete:3, Concrete
Techguns:concrete:4, Concrete
Techguns:concrete:5, Concrete
Techguns:concrete:6, Concrete
Techguns:metalpanel:0, Metal Panel
Techguns:metalpanel:1, Metal Panel
Techguns:metalpanel:2, Metal Panel
Techguns:metalpanel:3, Metal Panel
Techguns:metalpanel:4, Metal Panel
Techguns:metalpanel:5, Metal Panel
Techguns:metalpanel:6, Metal Panel
Techguns:metalpanel:7, Metal Panel
Techguns:metalpanel2:0, Metal Panel (Connected)
Techguns:metalpanel2:1, Metal Panel (Connected)
Techguns:metalpanel2:2, Metal Panel (Connected)
Techguns:metalpanel2:3, Metal Panel (Connected)
Techguns:metalpanel2:4, Metal Panel (Connected)
Techguns:metalpanel2:5, Metal Panel (Connected)
Techguns:metalpanel2:6, Metal Panel (Connected)
Techguns:bugnest:0, Hardened Sand
Techguns:oreDrill:0, Ore Drill Frame
Techguns:oreDrill:1, Ore Drill Scaffold
Techguns:oreDrill:2, Ore Drill Rod
Techguns:oreDrill:3, Ore Drill Engine
Techguns:oreDrill:4, Ore Drill Controller
Techguns:machineMultiBlock:0, Reaction Chamber Housing
Techguns:machineMultiBlock:1, Reaction Chamber Controller
Techguns:machineMultiBlock:2, Reaction Chamber Glass
Techguns:machineMultiBlock:3, Fabricator Housing
Techguns:machineMultiBlock:4, Fabricator Controller
Techguns:machineMultiBlock:5, Fabricator Glass
thaumicenergistics:thaumicenergistics.block.essentia.provider, Essentia Provider
thaumicenergistics:thaumicenergistics.block.infusion.provider, Infusion Provider
thaumicenergistics:thaumicenergistics.block.gear.box, Iron Gear Box
thaumicenergistics:thaumicenergistics.block.golem.gear.box, Thaumium Gear Box
thaumicenergistics:thaumicenergistics.block.essentia.cell.workbench, Essentia Cell Workbench
thaumicenergistics:thaumicenergistics.block.arcane.assembler, Arcane Assembler
thaumicenergistics:thaumicenergistics.block.knowledge.inscriber, Knowledge Inscriber
